ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.4419,-8.5873,1.6742,-0.1412,-0.1229,0.0147,-0.0015,0.0055,-0.0114,2,2019-08-07 16:15:02:200
4.4036,-8.5634,1.726,-0.0627,-0.0452,-0.0309,-0.0015,0.0055,-0.0114,8,2019-08-07 16:15:02:206
4.4036,-8.5634,1.726,-0.0627,-0.0452,-0.0309,-0.0015,0.0055,-0.0114,12,2019-08-07 16:15:02:210
4.4467,-8.6064,1.6883,-0.0627,-0.0452,-0.0309,-0.0026,-0.0179,-0.0093,18,2019-08-07 16:15:02:216
4.4467,-8.6064,1.6883,-0.0627,-0.0452,-0.0309,-0.0026,-0.0179,-0.0093,23,2019-08-07 16:15:02:221
4.4467,-8.6064,1.6883,-0.0627,-0.0452,-0.0309,-0.0058,-0.0275,-0.005,28,2019-08-07 16:15:02:226
4.4467,-8.6302,1.6647,-0.1651,-0.0347,0.0278,-0.0058,-0.0275,-0.005,33,2019-08-07 16:15:02:231
4.4467,-8.6302,1.6647,-0.1651,-0.0347,0.0278,-0.0068,-0.0296,-0.005,38,2019-08-07 16:15:02:236
4.4467,-8.6302,1.6647,-0.1651,-0.0347,0.0278,-0.0068,-0.0296,-0.005,42,2019-08-07 16:15:02:240
4.4754,-8.5825,1.6695,-0.1651,-0.0347,0.0278,-0.0047,0.0023,-0.0093,48,2019-08-07 16:15:02:246
4.4754,-8.5825,1.6695,-0.1572,-0.1388,0.0107,-0.0047,0.0023,-0.0093,53,2019-08-07 16:15:02:251
4.461,-8.53,1.6883,-0.1572,-0.1388,0.0107,-0.0047,0.0023,-0.0093,58,2019-08-07 16:15:02:256
4.461,-8.53,1.6883,-0.1572,-0.1388,0.0107,-0.0047,0.0236,-0.005,63,2019-08-07 16:15:02:261
4.461,-8.53,1.6883,-0.1572,-0.1388,0.0107,-0.0047,0.0236,-0.005,67,2019-08-07 16:15:02:265
4.4371,-8.4679,1.6553,-0.1361,-0.1854,0.035,-0.0143,0.0354,-0.0082,73,2019-08-07 16:15:02:271
4.4371,-8.4679,1.6553,-0.1361,-0.1854,0.035,-0.0143,0.0354,-0.0082,77,2019-08-07 16:15:02:275
4.4706,-8.5348,1.7685,-0.1361,-0.1854,0.035,-0.0154,0.0407,-0.0039,83,2019-08-07 16:15:02:281
4.4706,-8.5348,1.7685,-0.1361,-0.1854,0.035,-0.0154,0.0407,-0.0039,88,2019-08-07 16:15:02:286
4.4706,-8.5348,1.7685,-0.1211,-0.1323,-0.0202,-0.0122,0.0354,-0.0018,93,2019-08-07 16:15:02:291
4.3892,-8.5968,1.7355,-0.1211,-0.1323,-0.0202,-0.0122,0.0354,-0.0018,98,2019-08-07 16:15:02:296
4.3892,-8.5968,1.7355,-0.1211,-0.1323,-0.0202,-0.0154,0.0066,0.0014,103,2019-08-07 16:15:02:301
4.4275,-8.6207,1.693,-0.1211,-0.1323,-0.0202,-0.0154,0.0066,0.0014,108,2019-08-07 16:15:02:306
4.4275,-8.6207,1.693,-0.1688,0.0107,-0.0637,-0.0228,-0.0094,0.0024,113,2019-08-07 16:15:02:311
4.4275,-8.6207,1.693,-0.1688,0.0107,-0.0637,-0.0228,-0.0094,0.0024,118,2019-08-07 16:15:02:316
4.4419,-8.6971,1.726,-0.1688,0.0107,-0.0637,-0.0164,-0.0083,0.0024,123,2019-08-07 16:15:02:321
4.4419,-8.6971,1.726,-0.1688,0.0107,-0.0637,-0.0164,-0.0083,0.0024,128,2019-08-07 16:15:02:326
4.5328,-8.6875,1.66,-0.168,0.0199,0.0219,-0.0132,-0.0073,-0.0018,133,2019-08-07 16:15:02:331
4.5328,-8.6875,1.66,-0.168,0.0199,0.0219,-0.0132,-0.0073,-0.0018,138,2019-08-07 16:15:02:336
4.5328,-8.6875,1.66,-0.1577,0.0343,0.0298,-0.0111,-0.0019,-0.0061,143,2019-08-07 16:15:02:341
4.4754,-8.6302,1.693,-0.1577,0.0343,0.0298,-0.0111,-0.0019,-0.0061,149,2019-08-07 16:15:02:347
4.4754,-8.6302,1.693,-0.1577,0.0343,0.0298,-0.0068,0.0236,-0.0146,152,2019-08-07 16:15:02:350
4.4132,-8.5729,1.7072,-0.1577,0.0343,0.0298,-0.0068,0.0236,-0.0146,158,2019-08-07 16:15:02:356
4.4132,-8.5729,1.7072,-0.1359,-0.1172,-0.0742,-0.009,0.0364,-0.0157,163,2019-08-07 16:15:02:361
4.4132,-8.5729,1.7072,-0.1359,-0.1172,-0.0742,-0.009,0.0364,-0.0157,168,2019-08-07 16:15:02:366
4.4227,-8.53,1.7072,-0.1359,-0.1172,-0.0742,-0.009,0.0364,-0.0157,173,2019-08-07 16:15:02:371
4.4227,-8.53,1.7072,-0.1359,-0.1172,-0.0742,-0.0058,0.0279,-0.0146,178,2019-08-07 16:15:02:376
4.4562,-8.5873,1.7449,-0.1477,-0.1013,-0.0725,-0.0058,0.0279,-0.0146,183,2019-08-07 16:15:02:381
4.4562,-8.5873,1.7449,-0.1477,-0.1013,-0.0725,-0.0026,0.0172,-0.0135,188,2019-08-07 16:15:02:386
4.4562,-8.5873,1.7449,-0.1477,-0.1013,-0.0725,-0.0026,0.0172,-0.0135,193,2019-08-07 16:15:02:391
4.4467,-8.5491,1.7449,-0.1477,-0.1013,-0.0725,-0.0026,-0.003,-0.0061,198,2019-08-07 16:15:02:396
4.4467,-8.5491,1.7449,-0.1976,-0.0949,-0.0104,-0.0026,-0.003,-0.0061,202,2019-08-07 16:15:02:400
4.5615,-8.4966,1.6836,-0.1976,-0.0949,-0.0104,6.0E-4,-0.0083,-7.0E-4,208,2019-08-07 16:15:02:406
4.5615,-8.4966,1.6836,-0.1976,-0.0949,-0.0104,6.0E-4,-0.0083,-7.0E-4,213,2019-08-07 16:15:02:411
4.5615,-8.4966,1.6836,-0.1976,-0.0949,-0.0104,0.0028,-0.0062,0.0046,218,2019-08-07 16:15:02:416
4.5758,-8.5634,1.6317,-0.2625,-0.0845,0.0549,0.0028,-0.0062,0.0046,223,2019-08-07 16:15:02:421
4.5758,-8.5634,1.6317,-0.2625,-0.0845,0.0549,6.0E-4,0.0194,0.0131,228,2019-08-07 16:15:02:426
4.461,-8.5873,1.6412,-0.2625,-0.0845,0.0549,6.0E-4,0.0194,0.0131,233,2019-08-07 16:15:02:431
4.461,-8.5873,1.6412,-0.2625,-0.0845,0.0549,6.0E-4,0.0194,0.0131,237,2019-08-07 16:15:02:435
4.461,-8.5873,1.6412,-0.1012,-0.061,-0.0281,-0.0047,0.0428,0.0131,243,2019-08-07 16:15:02:441
4.351,-8.5873,1.7072,-0.1012,-0.061,-0.0281,-0.0047,0.0428,0.0131,248,2019-08-07 16:15:02:446
4.351,-8.5873,1.7072,-0.1012,-0.061,-0.0281,-0.0122,0.0556,0.0088,252,2019-08-07 16:15:02:450
4.351,-8.5873,1.7072,-0.1012,-0.061,-0.0281,-0.0122,0.0556,0.0088,258,2019-08-07 16:15:02:456
4.3175,-8.5586,1.627,0.0297,-0.0812,0.1108,-0.0281,0.063,0.0024,264,2019-08-07 16:15:02:462
4.3175,-8.5586,1.627,0.0297,-0.0812,0.1108,-0.0281,0.063,0.0024,267,2019-08-07 16:15:02:465
4.2314,-8.5729,1.759,0.0297,-0.0812,0.1108,-0.0281,0.063,0.0024,273,2019-08-07 16:15:02:471
4.2314,-8.5729,1.759,0.0297,-0.0812,0.1108,-0.0356,0.0322,-0.0103,278,2019-08-07 16:15:02:476
4.2314,-8.5729,1.759,0.0771,-0.0722,0.01,-0.0356,0.0322,-0.0103,283,2019-08-07 16:15:02:481
4.2218,-8.5825,1.7496,0.0771,-0.0722,0.01,-0.0356,0.0151,-0.0135,288,2019-08-07 16:15:02:486
4.2218,-8.5825,1.7496,0.0771,-0.0722,0.01,-0.0356,0.0151,-0.0135,292,2019-08-07 16:15:02:490
4.3557,-8.6064,1.5328,0.0771,-0.0722,0.01,-0.0313,-0.0222,-0.0135,299,2019-08-07 16:15:02:497
4.3557,-8.6064,1.5328,-0.1261,-0.0145,0.0881,-0.0313,-0.0222,-0.0135,302,2019-08-07 16:15:02:500
4.3557,-8.6064,1.5328,-0.1261,-0.0145,0.0881,-0.0186,-0.0467,-0.0231,308,2019-08-07 16:15:02:506
4.5621,-8.6398,1.6083,-0.1261,-0.0145,0.0881,-0.0186,-0.0467,-0.0231,313,2019-08-07 16:15:02:511
4.5621,-8.6398,1.6083,-0.1261,-0.0145,0.0881,-4.0E-4,-0.0445,-0.0199,317,2019-08-07 16:15:02:515
4.5908,-8.721,1.5753,-0.2724,0.0735,0.1002,-4.0E-4,-0.0445,-0.0199,323,2019-08-07 16:15:02:521
4.5908,-8.721,1.5753,-0.2724,0.0735,0.1002,0.0081,-0.02,-0.0157,327,2019-08-07 16:15:02:525
4.5908,-8.721,1.5753,-0.2724,0.0735,0.1002,0.0081,-0.02,-0.0157,333,2019-08-07 16:15:02:531
4.6148,-8.6494,1.5989,-0.2724,0.0735,0.1002,0.0113,0.0045,-0.0071,338,2019-08-07 16:15:02:536
4.6148,-8.6494,1.5989,-0.2823,-8.0E-4,0.0574,0.0113,0.0045,-0.0071,343,2019-08-07 16:15:02:541
4.5334,-8.6733,1.679,-0.2823,-8.0E-4,0.0574,0.0049,0.0268,-0.0029,347,2019-08-07 16:15:02:545
4.5334,-8.6733,1.679,-0.2823,-8.0E-4,0.0574,0.0049,0.0268,-0.0029,353,2019-08-07 16:15:02:551
4.5334,-8.6733,1.679,-0.2823,-8.0E-4,0.0574,0.0049,0.0268,-0.0029,357,2019-08-07 16:15:02:555
4.4043,-8.6112,1.8157,-0.0332,-0.0333,-0.0945,-0.0047,0.0407,-7.0E-4,363,2019-08-07 16:15:02:561
4.4043,-8.6112,1.8157,-0.0332,-0.0333,-0.0945,-0.0047,0.0407,-7.0E-4,368,2019-08-07 16:15:02:566
4.4043,-8.6112,1.8157,-0.0332,-0.0333,-0.0945,-0.0111,0.0279,0.0046,373,2019-08-07 16:15:02:571
4.3708,-8.5635,1.7969,-0.0332,-0.0333,-0.0945,-0.0111,0.0279,0.0046,378,2019-08-07 16:15:02:576
4.3708,-8.5635,1.7969,-0.0332,-0.0333,-0.0945,-0.0175,0.0077,-0.0018,383,2019-08-07 16:15:02:581
4.3995,-8.5921,1.745,-0.0293,-0.0813,-0.207,-0.0175,0.0077,-0.0018,388,2019-08-07 16:15:02:586
4.3995,-8.5921,1.745,-0.0293,-0.0813,-0.207,-0.0143,0.0087,-7.0E-4,392,2019-08-07 16:15:02:590
4.3995,-8.5921,1.745,-0.0293,-0.0813,-0.207,-0.0143,0.0087,-7.0E-4,398,2019-08-07 16:15:02:596
4.5191,-8.5444,1.6979,-0.0293,-0.0813,-0.207,-0.0111,0.0087,-0.0039,402,2019-08-07 16:15:02:600
4.5191,-8.5444,1.6979,-0.1577,-0.0955,-0.0669,-0.0111,0.0087,-0.0039,408,2019-08-07 16:15:02:606
4.5191,-8.5444,1.6979,-0.1577,-0.0955,-0.0669,-0.0122,0.0194,-0.0082,413,2019-08-07 16:15:02:611
4.4617,-8.5491,1.6225,-0.1577,-0.0955,-0.0669,-0.0122,0.0194,-0.0082,418,2019-08-07 16:15:02:616
4.4617,-8.5491,1.6225,-0.1577,-0.0955,-0.0669,-4.0E-4,0.0322,-0.0135,423,2019-08-07 16:15:02:621
4.4569,-8.5396,1.679,-0.0837,-0.1182,0.0089,-4.0E-4,0.0322,-0.0135,428,2019-08-07 16:15:02:626
4.4569,-8.5396,1.679,-0.0837,-0.1182,0.0089,0.0038,0.0162,-0.0146,433,2019-08-07 16:15:02:631
4.4569,-8.6017,1.6932,-0.0837,-0.1182,0.0089,0.0038,0.0162,-0.0146,438,2019-08-07 16:15:02:636
4.457,-8.6017,1.6932,-0.0837,-0.1182,0.0089,0.0049,-0.0041,-0.0135,443,2019-08-07 16:15:02:641
4.457,-8.6017,1.6932,-0.0857,-0.0306,-0.0225,0.0049,-0.0041,-0.0135,448,2019-08-07 16:15:02:646
4.4809,-8.6303,1.6696,-0.0857,-0.0306,-0.0225,0.0049,-0.0041,-0.0135,453,2019-08-07 16:15:02:651
4.4809,-8.6303,1.6696,-0.0857,-0.0306,-0.0225,0.0091,-0.0158,-0.0071,458,2019-08-07 16:15:02:656
4.4809,-8.6303,1.6696,-0.0857,-0.0306,-0.0225,0.0091,-0.0158,-0.0071,463,2019-08-07 16:15:02:661
4.5431,-8.6446,1.5848,-0.2112,0.0046,0.0948,0.0038,-0.0254,-0.0114,468,2019-08-07 16:15:02:666
4.5431,-8.6446,1.5848,-0.2112,0.0046,0.0948,0.0038,-0.0254,-0.0114,473,2019-08-07 16:15:02:671
4.5622,-8.6494,1.6555,-0.2112,0.0046,0.0948,6.0E-4,-0.0264,-0.0029,478,2019-08-07 16:15:02:676
4.5622,-8.6494,1.6555,-0.2112,0.0046,0.0948,6.0E-4,-0.0264,-0.0029,482,2019-08-07 16:15:02:680
4.5622,-8.6494,1.6555,-0.3326,0.0535,0.0648,0.0113,0.014,0.0067,488,2019-08-07 16:15:02:686
4.5622,-8.6589,1.5895,-0.3326,0.0535,0.0648,0.0113,0.014,0.0067,493,2019-08-07 16:15:02:691
4.5622,-8.6589,1.5895,-0.3326,0.0535,0.0648,0.007,0.0343,0.0025,497,2019-08-07 16:15:02:695
4.4809,-8.5396,1.6413,-0.3326,0.0535,0.0648,0.007,0.0343,0.0025,502,2019-08-07 16:15:02:700
4.4809,-8.5396,1.6413,-0.1077,-0.1224,-0.026,0.0102,0.0407,0.0046,508,2019-08-07 16:15:02:706
4.4809,-8.5396,1.6413,-0.1077,-0.1224,-0.026,0.0102,0.0407,0.0046,513,2019-08-07 16:15:02:711
